imp_delta,alb_delta,veg_delta,tree_delta,mean_cooling,median_cooling,max_cooling,pct_1deg,pct_05deg,n_extremes
-0.3,0.0,0.40000000000000013,0.2,-1.1830551220480703,-1.1453284578062304,-4.091307162317968,59.04761904761905,82.97536945812809,7563
-0.3,0.0,0.40000000000000013,0.25,-1.1847928369950613,-1.1464643266181715,-4.109238266024328,59.04223871772976,82.99283978190896,7565
-0.3,0.0,0.40000000000000013,0.30000000000000004,-1.1842266035678959,-1.1466351871731637,-4.0764493337008725,59.02285263987391,82.95902285263988,7560
-0.3,0.0,0.40000000000000013,0.3500000000000001,-1.184604836083459,-1.1466351871731637,-4.071178256544806,59.07419566644781,82.95469468154957,7558
-0.3,0.0,0.40000000000000013,0.4000000000000001,-1.187338933557159,-1.1466701806068476,-4.154911666187979,59.07419566644781,82.95469468154957,7558
-0.3,0.0,0.40000000000000013,0.45000000000000007,-1.1884737027439474,-1.1470317660266156,-4.100076235089855,59.09389363099147,82.95469468154957,7558
-0.3,0.0,0.40000000000000013,0.5000000000000001,-1.189324058615292,-1.1471945750702672,-4.190932518992977,59.09389363099147,82.95469468154957,7558
-0.3,0.0,0.4500000000000001,0.15,-1.1819730967460018,-1.147434396066731,-4.157533384118633,59.18890495596162,83.00907059287498,7574
-0.3,0.0,0.4500000000000001,0.2,-1.1919030874486636,-1.1505373884385248,-4.208632515755402,59.42981015568548,83.07823687840768,7565
-0.3,0.0,0.4500000000000001,0.25,-1.1932769932958889,-1.151464198622917,-4.217294590559708,59.42447933775704,83.06944353196242,7567
-0.3,0.0,0.4500000000000001,0.30000000000000004,-1.192552132093915,-1.1517955162931535,-4.215003954258667,59.39839747799817,83.03559700512282,7562
-0.3,0.0,0.4500000000000001,0.3500000000000001,-1.1929221889044619,-1.1517955162931535,-4.131760276113109,59.4234305227213,83.03125820856317,7560
-0.3,0.0,0.4500000000000001,0.4000000000000001,-1.1956866808985103,-1.1518765342275317,-4.163533724103527,59.443131074336755,83.0246913580247,7560
